0,1,2,3,4
Remuneración,,,,
Imponible Promedio,,,,
de los Trabajadores,,,,
Estables (RIPTE),,,,
Enero 2026,,,,
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
1994,,,,
Julio,"$ 874,87",-,"100,00","100,00"
Agosto,"$ 893,00","2,1%","102,07","102,07"
Septiembre,"$ 907,99","1,7%","103,79","103,79"
Octubre,"$ 910,75","0,3%","104,10","104,10"
Noviembre,"$ 916,93","0,7%","104,81","104,81"
Diciembre,"$ 936,83","2,2%","107,08","107,08"
1995,,,,
Enero,"$ 934,85","-0,2%","106,86","107,08"
Febrero,"$ 928,29","-0,7%","106,11","107,08"
Marzo,"$ 931,37","0,3%","106,46","107,08"
Abril,"$ 909,07","-2,4%","103,91","107,08"
Mayo,"$ 920,51","1,3%","105,22","107,08"
Junio,"$ 944,40","2,6%","107,95","107,95"
Julio,"$ 914,41","-3,2%","104,52","107,95"
Agosto,"$ 912,86","-0,2%","104,34","107,95"
Septiembre,"$ 914,69","0,2%","104,55","107,95"
Octubre,"$ 916,48","0,2%","104,76","107,95"
Noviembre,"$ 921,41","0,5%","105,32","107,95"
Diciembre,"$ 938,88","1,9%","107,32","107,95"
1996,,,,
Enero,"$ 938,19","-0,1%","107,24","107,95"
Febrero,"$ 933,47","-0,5%","106,70","107,95"
Marzo,"$ 932,13","-0,1%","106,55","107,95"
Abril,"$ 924,13","-0,9%","105,63","107,95"
Mayo,"$ 929,27","0,6%","106,22","107,95"
Junio,"$ 940,95","1,3%","107,55","107,95"
Julio,"$ 930,16","-1,1%","106,32","107,95"
Agosto,"$ 936,68","0,7%","107,07","107,95"
Septiembre,"$ 939,25","0,3%","107,36","107,95"
Octubre,"$ 940,12","0,1%","107,46","107,95"
Noviembre,"$ 921,90","-1,9%","105,38","107,95"
Diciembre,"$ 940,06","2,0%","107,45","107,95"
1997,,,,
Enero,"$ 923,49","-1,8%","105,56","107,95"
Febrero,"$ 923,58","0,0%","105,57","107,95"
Marzo,"$ 919,47","-0,4%","105,10","107,95"
Abril,"$ 912,02","-0,8%","104,25","107,95"
Mayo,"$ 914,59","0,3%","104,54","107,95"
Junio,"$ 928,71","1,5%","106,15","107,95"
Julio,"$ 905,95","-2,5%","103,55","107,95"
Agosto,"$ 898,67","-0,8%","102,72","107,95"
Septiembre,"$ 910,27","1,3%","104,05","107,95"
Octubre,"$ 913,02","0,3%","104,36","107,95"
Noviembre,"$ 899,56","-1,5%","102,82","107,95"
Diciembre,"$ 915,57","1,8%","104,65","107,95"
* Resolución ex MTEySS 467/2021.,,,,
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
1998,,,,
Enero,"$ 912,48","-0,3%","104,30","107,95"
Febrero,"$ 908,13","-0,5%","103,80","107,95"
Marzo,"$ 910,79","0,3%","104,11","107,95"
Abril,"$ 899,86","-1,2%","102,86","107,95"
Mayo,"$ 896,37","-0,4%","102,46","107,95"
Junio,"$ 920,38","2,7%","105,20","107,95"
Julio,"$ 898,35","-2,4%","102,68","107,95"
Agosto,"$ 888,71","-1,1%","101,58","107,95"
Septiembre,"$ 894,03","0,6%","102,19","107,95"
Octubre,"$ 892,20","-0,2%","101,98","107,95"
Noviembre,"$ 891,18","-0,1%","101,86","107,95"
Diciembre,"$ 905,15","1,6%","103,46","107,95"
1999,,,,
Enero,"$ 890,77","-1,6%","101,82","107,95"
Febrero,"$ 897,38","0,7%","102,57","107,95"
Marzo,"$ 896,72","-0,1%","102,50","107,95"
Abril,"$ 884,93","-1,3%","101,15","107,95"
Mayo,"$ 883,81","-0,1%","101,02","107,95"
Junio,"$ 898,59","1,7%","102,71","107,95"
Julio,"$ 888,23","-1,2%","101,53","107,95"
Agosto,"$ 883,40","-0,5%","100,98","107,95"
Septiembre,"$ 886,14","0,3%","101,29","107,95"
Octubre,"$ 888,30","0,2%","101,54","107,95"
Noviembre,"$ 887,21","-0,1%","101,41","107,95"
Diciembre,"$ 892,14","0,6%","101,97","107,95"
2000,,,,
Enero,"$ 888,29","-0,4%","101,53","107,95"
Febrero,"$ 893,47","0,6%","102,13","107,95"
Marzo,"$ 889,13","-0,5%","101,63","107,95"
Abril,"$ 871,69","-2,0%","99,64","107,95"
Mayo,"$ 878,60","0,8%","100,43","107,95"
Junio,"$ 903,02","2,8%","103,22","107,95"
Julio,"$ 882,35","- 2,3%","100,86","107,95"
Agosto,"$ 881,81","-0,1%","100,79","107,95"
Septiembre,"$ 883,15","0,2%","100,95","107,95"
Octubre,"$ 879,95","-0,4%","100,58","107,95"
Noviembre,"$ 877,91","-0,2%","100,35","107,95"
Diciembre,"$ 884,83","0,8%","101,14","107,95"
2001,,,,
Enero,"$ 887,75","0,3%","101,47","107,95"
Febrero,"$ 892,27","0,5%","101,99","107,95"
Marzo,"$ 892,12","0,0%","101,97","107,95"
Abril,"$ 884,92","-0,8%","101,15","107,95"
Mayo,"$ 882,57","-0,3%","100,88","107,95"
Junio,"$ 889,09","0,7%","101,63","107,95"
* Resolución ex MTEySS 467/2021.,,,,
2004,,,,
Enero,"$ 1.065,01","2,3%","121,73","121,73"
Febrero,"$ 1.090,92","2,4%","124,70","124,70"
Marzo,"$ 1.102,42","1,1%","126,01","126,01"
Abril,"$ 1.099,03","-0,3%","125,62","126,01"
Mayo,"$ 1.088,57","-1,0%","124,43","126,01"
Junio,"$ 1.100,62","1,1%","125,80","126,01"
Julio,"$ 1.087,79","-1,2%","124,34","126,01"
Agosto,"$ 1.085,02","-0,3%","124,02","126,01"
Septiembre,"$ 1.083,64","-0,1%","123,86","126,01"
Octubre,"$ 1.088,43","0,4%","124,41","126,01"
Noviembre,"$ 1.090,41","0,2%","124,64","126,01"
Diciembre,"$ 1.102,69","1,1%","126,04","126,04"
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
Julio,"$ 881,29","-0,9%","100,73","107,95"
Agosto,"$ 879,63","-0,2%","100,54","107,95"
Septiembre,"$ 876,40","-0,4%","100,18","107,95"
Octubre,"$ 880,26","0,4%","100,62","107,95"
Noviembre,"$ 875,83","-0,5%","100,11","107,95"
Diciembre,"$ 870,52","-0,6%","99,50","107,95"
2002,,,,
Enero,"$ 875,77","0,6%","100,10","107,95"
Febrero,"$ 887,02","1,3%","101,39","107,95"
Marzo,"$ 882,39","-0,5%","100,86","107,95"
Abril,"$ 882,13","0,0%","100,83","107,95"
Mayo,"$ 882,12","0,0%","100,83","107,95"
Junio,"$ 874,52","-0,9%","99,96","107,95"
Julio,"$ 906,76","3,7%","103,65","107,95"
Agosto,"$ 885,30","-2,4%","101,19","107,95"
Septiembre,"$ 891,87","0,7%","101,94","107,95"
Octubre,"$ 900,78","1,0%","102,96","107,95"
Noviembre,"$ 894,65","-0,7%","102,26","107,95"
Diciembre,"$ 900,69","0,7%","102,95","107,95"
2003,,,,
Enero,"$ 882,03","-2,1%","100,82","107,95"
Febrero,"$ 890,60","1,0%","101,80","107,95"
Marzo,"$ 892,09","0,2%","101,97","107,95"
Abril,"$ 889,92","-0,2%","101,72","107,95"
Mayo,"$ 887,23","-0,3%","101,41","107,95"
Junio,"$ 903,82","1,9%","103,31","107,95"
Julio,"$ 918,96","1,7%","105,04","107,95"
Agosto,"$ 941,34","2,4%","107,60","107,95"
Septiembre,"$ 971,97","3,3%","111,10","111,10"
Octubre,"$ 1008,52","3,8%","115,28","115,28"
Noviembre,"$ 1.020,36","1,2%","116,63","116,63"
Diciembre,"$ 1.040,73","2,0%","118,96","118,96"
2004,,,,
Enero,"$ 1.065,01","2,3%","121,73","121,73"
Febrero,"$ 1.090,92","2,4%","124,70","124,70"
Marzo,"$ 1.102,42","1,1%","126,01","126,01"
Abril,"$ 1.099,03","-0,3%","125,62","126,01"
Mayo,"$ 1.088,57","-1,0%","124,43","126,01"
Junio,"$ 1.100,62","1,1%","125,80","126,01"
Julio,"$ 1.087,79","-1,2%","124,34","126,01"
Agosto,"$ 1.085,02","-0,3%","124,02","126,01"
Septiembre,"$ 1.083,64","-0,1%","123,86","126,01"
Octubre,"$ 1.088,43","0,4%","124,41","126,01"
Noviembre,"$ 1.090,41","0,2%","124,64","126,01"
Diciembre,"$ 1.102,69","1,1%","126,04","126,04"
* Resolución ex MTEySS 467/2021.,,,,
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
2005,,,,
Enero,"$ 1.101,82","-0,1%","125,94","126,04"
Febrero,"$ 1.102,37","0,0%","126,00","126,04"
Marzo,"$ 1.113,64","1,0%","127,29","127,29"
Abril,"$ 1.156,06","3,8%","132,14","132,14"
Mayo,"$ 1.170,58","1,3%","133,80","133,80"
Junio,"$ 1.196,59","2,2%","136,77","136,77"
Julio,"$ 1.231,34","2,9%","140,75","140,75"
Agosto,"$ 1.277,97","3,8%","146,08","146,08"
Septiembre,"$ 1.304,53","2,1%","149,11","149,11"
Octubre,"$ 1.352,94","3,7%","154,64","154,64"
Noviembre,"$ 1.366,43","1,0%","156,19","156,19"
Diciembre,"$ 1.371,54","0,4%","156,77","156,77"
2006,,,,
Enero,"$ 1.388,13","1,2%","158,67","158,67"
Febrero,"$ 1.407,77","1,4%","160,91","160,91"
Marzo,"$ 1.441,65","2,4%","164,78","164,78"
Abril,"$ 1.465,06","1,6%","167,46","167,46"
Mayo,"$ 1.502,34","2,5%","171,72","171,72"
Junio,"$ 1.527,82","1,7%","174,63","174,63"
Julio,"$ 1.554,83","1,8%","177,72","177,72"
Agosto,"$ 1.583,35","1,8%","180,98","180,98"
Septiembre,"$ 1.596,46","0,8%","182,48","182,48"
Octubre,"$ 1.634,32","2,4%","186,81","186,81"
Noviembre,"$ 1.641,74","0,5%","187,66","187,66"
Diciembre,"$ 1.672,88","1,9%","191,21","191,21"
2007,,,,
Enero,"$ 1.693,86","1,3%","193,61","193,61"
Febrero,"$ 1.728,39","2,0%","197,56","197,56"
Marzo,"$ 1.764,52","2,1%","201,69","201,69"
Abril,"$ 1.815,39","2,9%","207,50","207,50"
Mayo,"$ 1.830,07","0,8%","209,18","209,18"
Junio,"$ 1.837,71","0,4%","210,06","210,06"
Julio,"$ 1.896,64","3,2%","216,79","216,79"
Agosto,"$ 1.941,51","2,4%","221,92","221,92"
Septiembre,"$ 1.946,53","0,3%","222,49","222,49"
Octubre,"$ 2.019,04","3,7%","230,78","230,78"
Noviembre,"$ 2.020,25","0,1%","230,92","230,92"
Diciembre,"$ 2.042,46","1,1%","233,46","233,46"
2008,,,,
Enero,"$ 2.050,27","0,4%","234,35","234,35"
Febrero,"$ 2.130,98","3,9%","243,58","243,58"
Marzo,"$ 2.190,53","2,8%","250,38","250,38"
Abril,"$ 2.336,11","6,6%","267,02","267,02"
Mayo,"$ 2.383,41","2,0%","272,43","272,43"
Junio,"$ 2.400,12","0,7%","274,34","274,34"
* Resolución ex MTEySS 467/2021.,,,,
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
Julio,"$ 2.485,91","3,6%","284,15","284,15"
Agosto,"$ 2.530,74","1,8%","289,27","289,27"
Septiembre,"$ 2.585,35","2,2%","295,51","295,51"
Octubre,"$ 2.628,32","1,7%","300,42","300,42"
Noviembre,"$ 2.592,17","-1,4%","296,29","300,42"
Diciembre,"$ 2.625,44","1,3%","300,09","300,42"
2009,,,,
Enero,"$ 2.594,54","-1,2%","296,56","300,42"
Febrero,"$ 2.578,64","-0,6%","294,75","300,42"
Marzo,"$ 2.681,73","4,0%","306,53","306,53"
Abril,"$ 2.731,19","1,8%","312,18","312,18"
Mayo,"$ 2.698,39","-1,2%","308,43","312,18"
Junio,"$ 2.780,38","3,0%","317,80","317,80"
Julio,"$ 2.803,30","0,8%","320,42","320,42"
Agosto,"$ 2.829,14","0,9%","323,38","323,38"
Septiembre,"$ 2.752,01","-2,7%","314,56","323,38"
Octubre,"$ 2.795,21","1,6%","319,50","323,38"
Noviembre,"$ 2.789,73","-0,2%","318,87","323,38"
Diciembre,"$ 3.015,95","8,1%","344,73","344,73"
2010,,,,
Enero,"$ 3.011,99","-0,1%","344,28","344,73"
Febrero,"$ 3.110,52","3,3%","355,54","355,54"
Marzo,"$ 3.233,20","3,9%","369,56","369,56"
Abril,"$ 3.305,06","2,2%","377,78","377,78"
Mayo,"$ 3.340,58","1,1%","381,84","381,84"
Junio,"$ 3.399,89","1,8%","388,62","388,62"
Julio,"$ 3.485,26","2,5%","398,37","398,37"
Agosto,"$ 3.570,19","2,4%","408,08","408,08"
Septiembre,"$ 3.719,15","4,2%","425,11","425,11"
Octubre,"$ 3.795,50","2,1%","433,84","433,84"
Noviembre,"$ 3.842,72","1,2%","439,23","439,23"
Diciembre,"$ 3.885,52","1,1%","444,13","444,13"
2011,,,,
Enero,"$ 3.935,30","1,3%","449,82","449,82"
Febrero,"$ 4.017,23","2,1%","459,18","459,18"
Marzo,"$ 4.289,54","6,8%","490,31","490,31"
Abril,"$ 4.343,04","1,2%","496,42","496,42"
Mayo,"$ 4.510,43","3,9%","515,55","515,55"
Junio,"$ 4.575,38","1,4%","522,98","522,98"
Julio,"$ 4.718,90","3,1%","539,38","539,38"
Agosto,"$ 4.875,01","3,3%","557,23","557,23"
Septiembre,"$ 5.034,58","3,3%","575,47","575,47"
Octubre,"$ 5.115,77","1,6%","584,75","584,75"
Noviembre,"$ 5.242,90","2,5%","599,28","599,28"
Diciembre,"$ 5.280,28","0,7%","603,55","603,55"
* Resolución ex MTEySS 467/2021.,,,,
Diciembre,"$ 8.743,73","0,9%","999,43","999,43"
2014,,,,
Enero,"$ 8.785,03","0,5%","1.004,15","1.004,15"
Febrero,"$ 9.249,21","5,3%","1.057,21","1.057,21"
Marzo,"$ 9.634,75","4,2%","1.101,28","1.101,28"
Abril,"$ 10.156,89","5,4%","1.160,96","1.160,96"
Mayo,"$ 10.295,00","1,4%","1.176,75","1.176,75"
Junio,"$ 10.394,20","1,0%","1.188,08","1.188,08"
Julio,"$ 10.894,91","4,8%","1.245,32","1.245,32"
Agosto,"$ 10.946,20","0,5%","1.251,18","1.251,18"
