0,1,2,3,4
Septiembre,"$ 11.393,26","4,1%","1.302,28","1.302,28"
Octubre,"$ 11.730,67","3,0%","1.340,85","1.340,85"
Noviembre,"$ 11.709,66","-0,2%","1.338,45","1.340,85"
Diciembre,"$ 11.953,50","2,1%","1.366,32","1.366,32"
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
2012,,,,
Enero,"$ 5.350,76","1,3%","611,61","611,61"
Febrero,"$ 5.501,32","2,8%","628,82","628,82"
Marzo,"$ 5.711,74","3,8%","652,87","652,87"
Abril,"$ 5.983,14","4,8%","683,89","683,89"
Mayo,"$ 6.163,78","3,0%","704,54","704,54"
Junio,"$ 6.193,16","0,5%","707,89","707,89"
Julio,"$ 6.413,30","3,6%","733,06","733,06"
Agosto,"$ 6.468,61","0,9%","739,38","739,38"
Septiembre,"$ 6.577,58","1,7%","751,84","751,84"
Octubre,"$ 6.743,80","2,5%","770,83","770,83"
Noviembre,"$ 6.907,30","2,4%","789,52","789,52"
Diciembre,"$ 6.985,82","1,1%","798,50","798,50"
2013,,,,
Enero,"$ 7.063,81","1,1%","807,41","807,41"
Febrero,"$ 7.300,21","3,3%","834,43","834,43"
Marzo,"$ 7.490,70","2,6%","856,21","856,21"
Abril,"$ 7.634,27","1,9%","872,62","872,62"
Mayo,"$ 7.896,30","3,4%","902,57","902,57"
Junio,"$ 7.985,95","1,1%","912,82","912,82"
Julio,"$ 8.176,79","2,4%","934,63","934,63"
Agosto,"$ 8.255,89","1,0%","943,67","943,67"
Septiembre,"$ 8.439,60","2,2%","964,67","964,67"
Octubre,"$ 8.626,56","2,2%","986,04","986,04"
Noviembre,"$ 8.666,72","0,5%","990,63","990,63"
Diciembre,"$ 8.743,73","0,9%","999,43","999,43"
2014,,,,
Enero,"$ 8.785,03","0,5%","1.004,15","1.004,15"
Febrero,"$ 9.249,21","5,3%","1.057,21","1.057,21"
Marzo,"$ 9.634,75","4,2%","1.101,28","1.101,28"
Abril,"$ 10.156,89","5,4%","1.160,96","1.160,96"
Mayo,"$ 10.295,00","1,4%","1.176,75","1.176,75"
Junio,"$ 10.394,20","1,0%","1.188,08","1.188,08"
Julio,"$ 10.894,91","4,8%","1.245,32","1.245,32"
Agosto,"$ 10.946,20","0,5%","1.251,18","1.251,18"
Septiembre,"$ 11.393,26","4,1%","1.302,28","1.302,28"
Octubre,"$ 11.730,67","3,0%","1.340,85","1.340,85"
Noviembre,"$ 11.709,66","-0,2%","1.338,45","1.340,85"
Diciembre,"$ 11.953,50","2,1%","1.366,32","1.366,32"
2015,,,,
Enero,"$ 11.997,96","0,4%","1.371,40","1.371,40"
Febrero,"$ 12.410,76","3,4%","1.418,58","1.418,58"
Marzo,"$ 12.869,99","3,7%","1.471,07","1.471,07"
Abril,"$ 13.077,29","1,6%","1.494,77","1.494,77"
Mayo,"$ 13.556,91","3,7%","1.549,59","1.549,59"
Junio,"$ 14.104,40","4,0%","1.612,17","1.612,17"
* Resolución ex MTEySS 467/2021.,,,,
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
Julio,"$ 14.535,78","3,1%","1.661,48","1.661,48"
Agosto,"$ 14.598,39","0,4%","1.668,64","1.668,64"
Septiembre,"$ 14.983,39","2,6%","1.712,64","1.712,64"
Octubre,"$ 15.202,43","1,5%","1.737,68","1.737,68"
Noviembre,"$ 15.526,15","2,1%","1.774,68","1.774,68"
Diciembre,"$ 15.800,97","1,8%","1.806,09","1.806,09"
2016,,,,
Enero,"$ 15.822,89","0,1%","1.808,60","1.808,60"
Febrero,"$ 16.520,52","4,4%","1.888,34","1.888,34"
Marzo,"$ 16.977,26","2,8%","1.940,55","1.940,55"
Abril,"$ 17.691,29","4,2%","2.022,16","2.022,16"
Mayo,"$ 18.042,71","2,0%","2.062,33","2.062,33"
Junio,"$ 18.277,57","1,3%","2.089,18","2.089,18"
Julio,"$ 18.988,44","3,9%","2.170,43","2.170,43"
Agosto,"$ 19.216,78","1,2%","2.196,53","2.196,53"
Septiembre,"$ 19.666,45","2,3%","2.247,93","2.247,93"
Octubre,"$ 20.069,28","2,0%","2.293,97","2.293,97"
Noviembre,"$ 20.422,65","1,8%","2.334,36","2.334,36"
Diciembre,"$ 20.690,14","1,3%","2.364,94","2.364,94"
2017,,,,
Enero,"$ 21.048,21","1,7%","2.405,87","2.405,87"
Febrero,"$ 21.483,03","2,1%","2.455,57","2.455,57"
Marzo,"$ 22.285,48","3,7%","2.547,29","2.547,29"
Abril,"$ 22.650,53","1,6%","2.589,02","2.589,02"
Mayo,"$ 23.029,98","1,7%","2.632,39","2.632,39"
Junio,"$ 23.469,98","1,9%","2.682,68","2.682,68"
Julio,"$ 24.489,17","4,3%","2.799,18","2.799,18"
Agosto,"$ 24.700,42","0,9%","2.823,33","2.823,33"
Septiembre,"$ 25.136,35","1,8%","2.873,15","2.873,15"
Octubre,"$ 25.843,46","2,8%","2.953,98","2.953,98"
Noviembre,"$ 26.177,33","1,3%","2.992,14","2.992,14"
Diciembre,"$ 26.301,42","0,5%","3.006,32","3.006,32"
2018,,,,
Enero,"$ 26.929,81","2,4%","3.078,15","3.078,15"
Febrero,"$ 27.440,22","1,9%","3.136,49","3.136,49"
Marzo,"$ 28.072,31","2,3%","3.208,74","3.208,74"
Abril,"$ 28.858,05","2,8%","3.298,55","3.298,55"
Mayo,"$ 29.338,79","1,7%","3.353,50","3.353,50"
Junio,"$ 29.598,12","0,9%","3.383,14","3.383,14"
Julio,"$ 30.283,84","2,3%","3.461,52","3.461,52"
Agosto,"$ 30.978,75","2,3%","3.540,95","3.540,95"
Septiembre,"$ 31.523,56","1,8%","3.603,23","3.603,23"
Octubre,"$ 33.154,28","5,2%","3.789,62","3.789,62"
Noviembre,"$ 33.733,80","1,7%","3.855,86","3.855,86"
Diciembre,"$ 34.339,61","1,8%","3.925,11","3.925,11"
* Resolución ex MTEySS 467/2021.,,,,
Febrero,"$ 56.386,47","6,2%","6.445,13","6.445,13"
Marzo,"$ 56.872,86","0,9%","6.500,72","6.500,72"
Abril,"$ 56.955,63","0,1%","6.510,18","6.510,18"
Mayo,"$ 57.057,90","0,2%","6.521,87","6.521,87"
Junio,"$ 58.361,93","2,3%","6.670,93","6.670,93"
Julio,"$ 60.440,53","3,6%","6.908,52","6.908,52"
Agosto,"$ 60.767,23","0,5%","6.945,86","6.945,86"
Septiembre,"$ 61.909,95","1,9%","7.076,47","7.076,47"
Octubre,"$ 64.756,23","4,6%","7.401,81","7.401,81"
Noviembre,"$ 65.571,77","1,3%","7.495,03","7.495,03"
Diciembre,"$ 66.869,88","2,0%","7.643,41","7.643,41"
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
2019,,,,
Enero,"$ 35.362,23","3,0%","4.042,00","4.042,00"
Febrero,"$ 36.733,68","3,9%","4.198,76","4.198,76"
Marzo,"$ 38.884,43","5,9%","4.444,60","4.444,60"
Abril,"$ 39.658,15","2,0%","4.533,03","4.533,03"
Mayo,"$ 40.911,09","3,2%","4.676,25","4.676,25"
Junio,"$ 41.584,20","1,6%","4.753,19","4.753,19"
Julio,"$ 43.290,96","4,1%","4.948,27","4.948,27"
Agosto,"$ 44.092,81","1,9%","5.039,93","5.039,93"
Septiembre,"$ 45.485,23","3,2%","5.199,08","5.199,08"
Octubre,"$ 47.834,32","5,2%","5.467,59","5.467,59"
Noviembre,"$ 48.591,60","1,6%","5.554,15","5.554,15"
Diciembre,"$ 49.574,33","2,0%","5.666,48","5.666,48"
2020,,,,
Enero,"$ 53.070,21","7,1%","6.066,07","6.066,07"
Febrero,"$ 56.386,47","6,2%","6.445,13","6.445,13"
Marzo,"$ 56.872,86","0,9%","6.500,72","6.500,72"
Abril,"$ 56.955,63","0,1%","6.510,18","6.510,18"
Mayo,"$ 57.057,90","0,2%","6.521,87","6.521,87"
Junio,"$ 58.361,93","2,3%","6.670,93","6.670,93"
Julio,"$ 60.440,53","3,6%","6.908,52","6.908,52"
Agosto,"$ 60.767,23","0,5%","6.945,86","6.945,86"
Septiembre,"$ 61.909,95","1,9%","7.076,47","7.076,47"
Octubre,"$ 64.756,23","4,6%","7.401,81","7.401,81"
Noviembre,"$ 65.571,77","1,3%","7.495,03","7.495,03"
Diciembre,"$ 66.869,88","2,0%","7.643,41","7.643,41"
2021,,,,
Enero,"$ 68.100,73","1,8%","7.784,10","7.784,10"
Febrero,"$ 72.293,40","6,2%","8.263,33","8.263,33"
Marzo,"$ 75.809,13","4,9%","8.665,19","8.665,19"
Abril,"$ 80.501,97","6,2%","9.201,59","9.201,59"
Mayo,"$ 81.464,51","1,2%","9.311,61","9.311,61"
Junio,"$ 84.513,57","3,7%","9.660,13","9.660,13"
Julio,"$ 88.274,02","4,4%","10.089,96","10.089,96"
Agosto,"$ 90.340,08","2,3%","10.326,11","10.326,11"
Septiembre,"$ 94.157,71","4,2%","10.762,48","10.762,48"
Octubre,"$ 97.538,78","3,6%","11.148,95","11.148,95"
Noviembre,"$ 100.590,14","3,1%","11.497,72","11.497,72"
Diciembre,"$ 102.589,87","2,0%","11.726,30","11.726,30"
2022,,,,
Enero,"$ 107.358,35","4,6%","12.271,35","12.271,35"
Febrero,"$ 112.413,82","4,7%","12.849,20","12.849,20"
Marzo,"$ 121.220,45","7,8%","13.855,82","13.855,82"
Abril,"$ 128.406,32","5,9%","14.677,19","14.677,19"
Mayo,"$ 133.595,77","4,0%","15.270,36","15.270,36"
Junio,"$ 141.289,40","5,8%","16.149,76","16.149,76"
* Resolución ex MTEySS 467/2021.,,,,
Enero,"$ 201.580,26","3,8%","23.041,17","23.041,17"
Febrero,"$ 218.543,91","8,4%","24.980,16","24.980,16"
Marzo,"$ 239.882,73","9,8%","27.419,24","27.419,24"
Abril,"$ 263.481,22","9,8%","30.116,61","30.116,61"
Mayo,"$ 279.820,37","6,2%","31.984,22","31.984,22"
Junio,"$ 302.562,69","8,1%","34.583,73","34.583,73"
Julio,"$ 324.997,28","7,4%","37.148,07","37.148,07"
Agosto,"$ 344.057,43","5,9%","39.326,69","39.326,69"
Septiembre,"$ 376.594,32","9,5%","43.045,75","43.045,75"
Octubre,"$ 420.706,55","11,7%","48.087,89","48.087,89"
Noviembre,"$ 447.079,57","6,3%","51.102,40","51.102,40"
Diciembre,"$ 484.298,40","8,3%","55.356,61","55.356,61"
Febrero,"$ 619.007,05","11,5%","70.754,17","70.754,17"
Marzo,"$ 705.832,58","14,0%","80.678,57","80.678,57"
Abril,"$ 819.501,72","16,1%","93.671,26","93.671,26"
Mayo,"$ 879.483,08","7,3%","100.527,29","100.527,29"
Junio,"$ 933.179,85","6,1%","106.664,97","106.664,97"
Julio,"$ 994.681,38","6,6%","113.694,76","113.694,76"
Agosto,"$ 1.032.410,48","3,8%","118.007,30","118.007,30"
Septiembre,"$ 1.075.145,08","4,1%","122.891,98","122.891,98"
Octubre,"$ 1.146.474,18","6,6%","131.045,09","131.045,09"
Noviembre,"$ 1.178.925,33","2,8%","134.754,34","134.754,34"
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
Julio,"$ 148.811,85","5,3%","17.009,60","17.009,60"
Agosto,"$ 155.611,28","4,6%","17.786,79","17.786,79"
Septiembre,"$ 165.421,01","6,3%","18.908,07","18.908,07"
Octubre,"$ 174.436,90","5,5%","19.938,61","19.938,61"
Noviembre,"$ 184.210,25","5,6%","21.055,73","21.055,73"
Diciembre,"$ 194.175,11","5,4%","22.194,74","22.194,74"
2023,,,,
Enero,"$ 201.580,26","3,8%","23.041,17","23.041,17"
Febrero,"$ 218.543,91","8,4%","24.980,16","24.980,16"
Marzo,"$ 239.882,73","9,8%","27.419,24","27.419,24"
Abril,"$ 263.481,22","9,8%","30.116,61","30.116,61"
Mayo,"$ 279.820,37","6,2%","31.984,22","31.984,22"
Junio,"$ 302.562,69","8,1%","34.583,73","34.583,73"
Julio,"$ 324.997,28","7,4%","37.148,07","37.148,07"
Agosto,"$ 344.057,43","5,9%","39.326,69","39.326,69"
Septiembre,"$ 376.594,32","9,5%","43.045,75","43.045,75"
Octubre,"$ 420.706,55","11,7%","48.087,89","48.087,89"
Noviembre,"$ 447.079,57","6,3%","51.102,40","51.102,40"
Diciembre,"$ 484.298,40","8,3%","55.356,61","55.356,61"
2024,,,,
Enero,"$ 555.269,16","14,7%","63.468,76","63.468,76"
Febrero,"$ 619.007,05","11,5%","70.754,17","70.754,17"
Marzo,"$ 705.832,58","14,0%","80.678,57","80.678,57"
Abril,"$ 819.501,72","16,1%","93.671,26","93.671,26"
Mayo,"$ 879.483,08","7,3%","100.527,29","100.527,29"
Junio,"$ 933.179,85","6,1%","106.664,97","106.664,97"
Julio,"$ 994.681,38","6,6%","113.694,76","113.694,76"
Agosto,"$ 1.032.410,48","3,8%","118.007,30","118.007,30"
Septiembre,"$ 1.075.145,08","4,1%","122.891,98","122.891,98"
Octubre,"$ 1.146.474,18","6,6%","131.045,09","131.045,09"
Noviembre,"$ 1.178.925,33","2,8%","134.754,34","134.754,34"
Diciembre,"$ 1.202.927,89","2,0%","137.497,90","137.497,90"
2025,,,,
Enero,"$ 1.234.658,40","2,6%","141.124,78","141.124,78"
Febrero,"$ 1.310.357,80","6,1%","149.777,43","149.777,43"
Marzo,"$ 1.363.510,33","4,1%","155.852,91","155.852,91"
Abril,"$ 1.402.606,61","2,9%","160.321,72","160.321,72"
Mayo,"$ 1.428.661,30","1,9%","163.299,84","163.299,84"
Junio,"$ 1.468.135,75","2,8%","167.811,87","167.811,87"
Julio,"$ 1.510.680,81","2,9%","172.674,89","172.674,89"
Agosto,"$ 1.530.297,32","1,3%","174.917,11","174.917,11"
Septiembre,"$ 1.551.831,75","1,4%","177.378,55","177.378,55"
Octubre,"$ 1.593.047,33","2,7%","182.089,61","182.089,61"
Noviembre,"$ 1.611.851,61","1,2%","184.238,99","184.238,99"
Diciembre,"$ 1.633.547,00","1,3%","186.718,83","186.718,83"
* Resolución ex MTEySS 467/2021.,,,,
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
2026,,,,
Enero,"$ 1.646.344,54","0,8%","188.181,62","188.181,62"
* Resolución ex MTEySS 467/2021.,,,,
Fuente: Subsecretaría de Seguridad Social.,,,,
